question,topic,week
202504Q1,2.3.4 Debenture valuation & market interest rate effects,8
202504Q2,2.1.3 Authorised vs market value constraints on share issue,10
202504Q3,1.2 Corporate governance – remuneration committee accountability,1
202504Q4,1.3.4 Maximisation of shareholder wealth – NPV principle,1
202504Q5,2.3.5 Currency options – valuation & exercise decision,0
202504Q6,2.4.3 Dividend policy – scrip vs cash dividend & taxation preference,10
202504Q7,3.1.3 Receipts/costs ratio & investment appraisal metric,7
202504Q8,3.1.8 Risk identification & mitigation (health and safety context),7
202504Q9,3.1.5 Certainty equivalents & risk-adjusted valuation,7
202504Q10,4.1.4 Dual aspect accounting concept,2
202504Q11,1.2.0 Corporate governance function – CFO vs treasurer roles,1
202504Q12,1.3.5 Corporate governance & stakeholder transparency,1
202504Q13,"2.3.4 Preference shares – cost, taxation & investor risk",8
202504Q14,2.3.1–2.3.6 Debt vs equity financing (borrowing vs quotation),10
202504Q15,"4.1.2–4.1.5 Disclosure, prudence & confidentiality in reporting",2
202504Q16,3.1.7 Systematic vs specific risk – project evaluation using beta,9
202504Q17,4.1.8–4.1.12 Prudence concept in insurance accounting,0
202504Q18,4.1.1 Unmodified audit report – assurance meaning & limits,2
202504Q19,"4.2.1–4.2.5 Financial ratios (gearing, interest cover, current ratio) & interpretation",4
202504Q20,2.4.4 Share buyback vs dividend distribution & market signalling,10
202404Q1,1.3.3 Role and effects of the capital markets,1
202404Q2,1.3.4 Maximisation of shareholder wealth,1
202404Q3,1.4 Ethical responsibilities,1
202404Q4,2.2.4 Double taxation relief,5
202404Q5,3.1.6 Required rate of return (beta),7
202404Q6,3.1.3 IRR method,7
202404Q7,3.1.3 / 3.1.6 NPV & shareholder value,7
202404Q8,3.1.4 Opportunity cost in project appraisal,7
202404Q9,3.1.8 Risk identification,7
202404Q10,4.2.4 Dividend cover,4
202404Q11,1.2 Corporate governance,1
202404Q12,2.3.4 Convertible loan stock,8
202404Q13,2.1.8 Shadow banking,10
202404Q14,2.1.6 Medium-term finance: leasing,8
202404Q15,2.1.5 Limited liability / incorporation,1
202404Q16,3.1.8 Risk mitigation (staff safety),7
202404Q17,4.1.11 Consolidated accounts,0
202404Q18,4.2.1 Gearing / ROCE analysis,4
202404Q19,4.1.5–4.1.6 Financial statements,3
202404Q20,1.3.4-1.3.5 Growth synergy and shareholders value,1
202409Q1,1.3.5 Takeover bids & governance,1
202409Q2,1.4.0 vs 1.3.4 Ethics vs shareholder wealth,1
202409Q3,1.1–1.2 Governance responsibility,1
202409Q4,2.4.3 Dividend policy (scrip),10
202409Q5,3.1.6 Real vs nominal interest,7
202409Q6,3.1.2 WACC / hurdle rates,9
202409Q7,3.1.5 Simulation,7
202409Q8,3.1.8 Risk transfer (fixed price),7
202409Q9,3.1.4 Certainty equivalents,7
202409Q10,4.1.4 Intangibles (workforce),2
202409Q11,1.2 Corporate governance (CEO/Chair),1
202409Q12,2.1.7 Trade credit,0
202409Q13,2.2 Principles of taxation,5
202409Q14,2.3.4 Preference shares,8
202409Q15,2.3.1 Quotation (VC exit),10
202409Q16,3.1.6 / 3.1.7 Cost of capital determination,7
202409Q17,4.1.13 Revaluation reserves,3
202409Q18,4.1.10 Subsidiary vs associate,0
202409Q19,4.2.5 Ratio analysis,4
202409Q20,2.5.3 Divestment & agency,0
202304Q1,1.2 Corporate governance – internal control,1
202304Q2,1.3.3 Role/effects of capital markets,1
202304Q3,1.2 Corporate governance – board/appointments,1
202304Q4,1.2 / 1.3.5 Governance – CEO/Chair role,1
202304Q5,2.1.8 Peer-to-peer lending,10
202304Q6,2.2.1 Personal taxation – capital gains,5
202304Q7,3.1.8 Risk management (insurance = transfer),7
202304Q8,4.1.4 Matching concept,2
202304Q9,4.1.13 Share capital & reserves – net assets,3
202304Q10,4.1.3 Creative accounting,2
202304Q11,1.4 Ethics in reporting liabilities,1
202304Q12,2.4.3 Dividend policy,10
202304Q13,2.5.1–2.5.3 Takeovers & capital markets,8
202304Q14,4.1.2 Sustainability reporting,2
202304Q15,4.1.8 Insurance directors vs auditors on liabilities,0
202304Q16,4.1.5 Notes to accounts,2
202304Q17,4.2.5 ROCE decomposition,4
202304Q18,1.3.5-1.3.6 Budgeting (finance decision-making),7
202304Q19,"4.2.1-4.2.2 Revaluation, gearing, debt covenant",4
